"engl","spa"
"Go.","Ve."
"Go.","Vete."
"Go.","Vaya."
"Go.","Váyase."
"Hi.","Hola."
"Run!","¡Corre!"
"Run!","¡Corran!"
"Run!","¡Corra!"
"Run!","¡Corred!"
"Run.","Corred."
"Who?","¿Quién?"
"Wow!","¡Órale!"
"Fire!","¡Fuego!"
"Fire!","¡Incendio!"
"Fire!","¡Disparad!"
"Help!","¡Ayuda!"
"Help!","¡Socorro! ¡Auxilio!"
"Help!","¡Auxilio!"
"Jump!","¡Salta!"
"Jump.","Salte."
"Stop!","¡Parad!"
"Stop!","¡Para!"
"Stop!","¡Pare!"
"Wait!","¡Espera!"
"Wait!","¡Espérate!"
"Wait.","Esperen."
"Wait.","Espera."
"Go on.","Continúa."
"Go on.","Continúe."
"Hello!","Hola."
"Hurry!","¡Date prisa!"
"Hurry!","¡Daos prisa!"
"Hurry!","Dese prisa."
"I hid.","Me oculté."
"I hid.","Me escondí."
"I hid.","Me ocultaba."
"I hid.","Me escondía."
"I ran.","Corrí."
"I ran.","Corría."
"I try.","Lo intento."
"I won!","¡He ganado!"
"Oh no!","¡Oh, no!"
"Relax.","Tomátelo con soda."
"Shoot!","¡Fuego!"
"Shoot!","¡Disparad!"
"Shoot!","¡Disparen!"
"Shoot!","¡Dispara!"
"Shoot!","¡Dispará!"
"Shoot!","¡Dispare!"
"Smile.","Sonríe."
"Attack!","¡Al ataque!"
"Attack!","¡Atacad!"
"Attack!","¡Ataque!"
"Attack!","¡Ataquen!"
"Attack!","¡Ataca!"
"Get up.","Levanta."
"Go now.","Ve ahora mismo."
"Go now.","Id ahora mismo."
"Go now.","Vaya ahora mismo."
"Go now.","Vayan ahora mismo."
"Go now.","Ve ya."
"Go now.","Id ya."
"Go now.","Vaya ya."
"Go now.","Vayan ya."
"Got it!","¡Lo tengo!"
"Got it?","¿Lo pillas?"
"Got it?","¿Entendiste?"
"He ran.","Él corrió."
"Hop in.","Métete adentro."
"Hug me.","Abrázame."
"I care.","Me preocupo."
"I fell.","Me caí."
"I fled.","Huí."
"I fled.","Me escapé."
"I fled.","Huía."
"I fled.","Me escapaba."
"I know.","Yo lo sé."
"I left.","Salí."
"I lied.","Mentí."
"I lost.","Perdí."
"I paid.","Pagué."
"I quit.","Dimito."
"I quit.","Renuncié."
"I quit.","Lo dejo."
"I sang.","Canté."
"I wept.","Lloré."
"I wept.","Lloraba."
"I work.","Estoy trabajando."
"I'm 19.","Tengo diecinueve."
"I'm up.","Estoy levantado."
"Listen.","Escucha."
"Listen.","Escuche."
"Listen.","Escuchen."
"No way!","¡No puede ser!"
"No way!","De ninguna manera."
"No way!","¡De ninguna manera!"
"No way!","¡Imposible!"
"No way!","¡De ningún modo!"
"No way!","¡De eso nada!"
"No way!","¡Ni cagando!"
"No way!","¡Mangos!"
"No way!","¡Minga!"
"No way!","¡Ni en pedo!"
"Really?","¿En serio?"
"Really?","¿La verdad?"
"Thanks.","¡Gracias!"
"Thanks.","Gracias."
"Try it.","Pruébalo."
"We ate.","Comimos."
"We try.","Lo procuramos."
"We won.","Ganamos."
"Why me?","¿Por qué yo?"
"Ask Tom.","Pregúntale a Tom."
"Ask him.","Pregúntale."
"Awesome!","¡Órale!"
"Be calm.","Mantente en calma."
"Be cool.","Estate tranquilo."
"Be fair.","Sé justo."
"Be good.","Sé bueno."
"Be good.","Sé buena."
"Be good.","Sed buenas."
"Be good.","Sed buenos."
"Be good.","Sea buena."
"Be good.","Sea bueno."
"Be good.","Sean buenas."
"Be good.","Sean buenos."
"Be kind.","Sean gentiles."
"Be nice.","Sé agradable."
"Beat it.","Pírate."
"Call me.","Llamame."
"Call me.","Llamadme."
"Call me.","Llámame."
"Call us.","Llámanos."
"Come in.","Entre."
"Come in.","Pase."
"Come in.","¡Entren!"
"Come on!","¡Órale!"
"Come on.","Ándale."
"Come on.","¡Órale!"
"Drop it!","Suéltalo."
"Get Tom.","Agarra a Tom."
"Get out!","Bájate."
"Get out.","Salte."
"Get out.","Sal."
"Get out.","Salí."
"Get out.","Salid."
"Get out.","Salgan."
"Go away!","¡Vete de aquí!"
"Go away!","¡Lárgate!"
